호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,658 ,24 ,8560 ,9158 ,14541 ,62765 ,43682 ,121498 ,75625 ,247481 ,69569 ,165780 ,64964 ,89882 ,83579 ,79071 ,92596 ,85488 ,91583 ,85617 ,77942 ,77821 ,107061 ,80047 ,121232 ,85791 ,186861 ,97810 ,232292 ,97360 ,127623 ,68217 ,88686 ,49834 ,89528 ,45770 ,60579 ,30821 ,28952 ,14443 ,3203 ,3771 ,3 ,263 ,0 ,0 ,0 ,0 
1호선,시청,94 ,2 ,2321 ,5550 ,4123 ,26788 ,7965 ,76757 ,11415 ,204838 ,13882 ,94008 ,16811 ,50246 ,22260 ,45931 ,23951 ,41705 ,32711 ,41118 ,40644 ,32395 ,55315 ,28761 ,63996 ,27301 ,98807 ,28303 ,164218 ,26671 ,65574 ,13940 ,58650 ,10320 ,51328 ,8905 ,32067 ,6293 ,10700 ,4110 ,661 ,1172 ,3 ,40 ,1 ,0 ,0 ,0 
1호선,종각,140 ,4 ,3754 ,5916 ,4432 ,31983 ,6987 ,116830 ,11438 ,271585 ,13857 ,153462 ,19090 ,65403 ,28559 ,58646 ,34028 ,51264 ,43174 ,50404 ,54045 ,41831 ,66388 ,36375 ,81012 ,38714 ,153426 ,45018 ,220336 ,48477 ,97736 ,25030 ,83719 ,13279 ,86190 ,10047 ,61700 ,7354 ,27596 ,4706 ,2029 ,1395 ,1 ,2 ,0 ,0 ,0 ,0 
1호선,종로3가,213 ,9 ,3993 ,2632 ,3760 ,13113 ,6192 ,28333 ,10487 ,69582 ,14903 ,67013 ,21481 ,56758 ,32378 ,66230 ,41670 ,66793 ,49408 ,61232 ,58537 ,52853 ,67386 ,45645 ,74639 ,43708 ,88068 ,42730 ,97536 ,43348 ,60598 ,23791 ,51089 ,13529 ,53532 ,10456 ,42546 ,8327 ,19796 ,5417 ,2108 ,2426 ,1 ,38 ,0 ,1 ,0 ,0 
1호선,종로5가,38 ,2 ,1997 ,3764 ,3361 ,17380 ,5936 ,43604 ,10505 ,99401 ,15190 ,67784 ,24499 ,60892 ,36685 ,62864 ,45987 ,58683 ,53569 ,54562 ,62163 ,50877 ,65474 ,42509 ,71618 ,39876 ,88592 ,35214 ,97906 ,31830 ,51431 ,19468 ,37599 ,11041 ,33165 ,7925 ,21398 ,5978 ,6494 ,3795 ,366 ,1319 ,0 ,0 ,0 ,0 ,0 ,0 
1호선,동대문,708 ,7 ,11309 ,2206 ,9917 ,7632 ,16477 ,13074 ,21936 ,20928 ,20056 ,24411 ,17984 ,26080 ,19424 ,28829 ,23661 ,27339 ,25539 ,25852 ,26724 ,24170 ,28215 ,22128 ,28513 ,22183 ,26641 ,21646 ,24483 ,22954 ,17860 ,22069 ,15711 ,15447 ,14206 ,13947 ,10894 ,13041 ,5546 ,9476 ,693 ,3153 ,0 ,266 ,0 ,0 ,0 ,0 
1호선,신설동,371 ,25 ,8785 ,2166 ,10319 ,9477 ,22808 ,27491 ,33089 ,58404 ,22394 ,33115 ,19633 ,21299 ,20937 ,18479 ,22666 ,19302 ,25010 ,20300 ,23677 ,18717 ,25136 ,20530 ,29458 ,22012 ,42658 ,24664 ,52889 ,31891 ,21913 ,23357 ,15004 ,16160 ,14481 ,16241 ,9660 ,14335 ,4282 ,9376 ,423 ,3048 ,0 ,0 ,0 ,0 ,0 ,0 
1호선,제기동,409 ,2 ,5326 ,2524 ,9582 ,10009 ,22601 ,21872 ,33720 ,40499 ,24375 ,34844 ,25928 ,39135 ,32789 ,44605 ,38939 ,45521 ,41805 ,47710 ,44780 ,45354 ,46888 ,38738 ,46321 ,34891 ,44241 ,29528 ,40379 ,28866 ,22224 ,19162 ,14668 ,12665 ,9528 ,11819 ,5984 ,9885 ,2574 ,6027 ,211 ,1665 ,0 ,0 ,0 ,0 ,0 ,0 
1호선,청량리(서울시립대입구),1145 ,21 ,11873 ,2610 ,19144 ,10607 ,50516 ,18457 ,60787 ,40667 ,38368 ,40203 ,34032 ,40921 ,38628 ,47043 ,45870 ,49631 ,46739 ,52309 ,49048 ,50923 ,53901 ,48118 ,57879 ,47234 ,53603 ,48901 ,47248 ,58923 ,27366 ,38355 ,21866 ,24365 ,16697 ,23174 ,10841 ,19857 ,4394 ,12367 ,364 ,4043 ,0 ,0 ,1 ,1 ,0 ,0 
1호선,동묘앞,231 ,1 ,3091 ,802 ,4051 ,5422 ,9024 ,10925 ,13810 ,23413 ,12127 ,18098 ,13323 ,24169 ,17932 ,32263 ,25352 ,35723 ,34346 ,40053 ,35911 ,33623 ,36307 ,28454 ,38012 ,22028 ,35079 ,16605 ,24960 ,13666 ,12144 ,9578 ,6961 ,6903 ,6009 ,7077 ,4180 ,7442 ,1303 ,4900 ,151 ,2459 ,2 ,322 ,0 ,0 ,0 ,0 
2호선,시청,75 ,1 ,952 ,2036 ,2442 ,20840 ,5107 ,76398 ,9639 ,233300 ,13730 ,93145 ,19797 ,32733 ,25739 ,28993 ,24542 ,27963 ,30459 ,30017 ,36761 ,25450 ,44640 ,22989 ,55599 ,21471 ,111267 ,23475 ,175241 ,23740 ,64438 ,13483 ,50111 ,9671 ,43654 ,8931 ,27312 ,8020 ,10766 ,5105 ,1264 ,1413 ,2 ,57 ,1 ,1 ,0 ,0 
2호선,을지로입구,87 ,4 ,2498 ,2848 ,4562 ,30184 ,11611 ,135359 ,20242 ,346116 ,28849 ,168744 ,35625 ,89096 ,43766 ,72541 ,48325 ,64687 ,59344 ,66919 ,67480 ,57903 ,81777 ,58523 ,97418 ,61313 ,177953 ,70801 ,282727 ,74523 ,134000 ,48443 ,128336 ,33159 ,87677 ,27933 ,71763 ,21467 ,31043 ,11887 ,4005 ,4633 ,3 ,989 ,1 ,0 ,0 ,0 
2호선,을지로3가,28 ,0 ,1310 ,2118 ,2928 ,21038 ,6895 ,74711 ,14095 ,180405 ,18884 ,74776 ,22466 ,34088 ,24960 ,28860 ,25781 ,27226 ,29740 ,29842 ,33643 ,26770 ,37902 ,27161 ,47125 ,30949 ,95292 ,38003 ,141198 ,44923 ,60854 ,29161 ,46933 ,18247 ,49248 ,15578 ,41745 ,13673 ,24912 ,8511 ,4458 ,2213 ,1 ,51 ,0 ,0 ,0 ,0 
2호선,을지로4가,8 ,0 ,952 ,1117 ,2218 ,14626 ,5684 ,37771 ,11444 ,79658 ,13520 ,40911 ,16485 ,25653 ,19232 ,25131 ,19656 ,22752 ,21825 ,22069 ,24662 ,20958 ,28460 ,19675 ,34338 ,19534 ,62995 ,19694 ,67960 ,21127 ,31378 ,14204 ,19409 ,10215 ,16297 ,9811 ,11629 ,9536 ,5518 ,5975 ,1070 ,1691 ,0 ,25 ,0 ,0 ,0 ,0 
2호선,동대문역사문화공원(DDP),215 ,4 ,5529 ,1272 ,4298 ,9348 ,7995 ,25001 ,13533 ,48834 ,16748 ,33088 ,18697 ,32627 ,20863 ,31322 ,23824 ,32076 ,24954 ,32527 ,28916 ,31209 ,35452 ,29436 ,40772 ,28766 ,46950 ,31178 ,48064 ,36750 ,32589 ,33800 ,25647 ,25912 ,24890 ,21841 ,21478 ,19148 ,10586 ,12151 ,2242 ,3788 ,3 ,107 ,0 ,0 ,0 ,0 
2호선,신당,31 ,3 ,6627 ,1231 ,12078 ,9341 ,31048 ,17550 ,51974 ,32322 ,30955 ,22914 ,20862 ,19120 ,20209 ,20616 ,23429 ,22079 ,23987 ,23337 ,23129 ,24228 ,24180 ,26823 ,28108 ,31839 ,30928 ,41400 ,34194 ,58761 ,25087 ,38231 ,20048 ,24789 ,18828 ,22513 ,16480 ,20323 ,8369 ,12682 ,1479 ,4086 ,0 ,56 ,0 ,0 ,0 ,0 
2호선,상왕십리,27 ,1 ,6087 ,814 ,14568 ,5977 ,44674 ,13134 ,69456 ,32244 ,38826 ,19374 ,24957 ,14063 ,21170 ,13344 ,23277 ,15558 ,21949 ,17135 ,19317 ,18592 ,20411 ,22348 ,21663 ,27774 ,26249 ,37527 ,26497 ,55654 ,20399 ,38781 ,12828 ,25588 ,11388 ,23974 ,7731 ,22547 ,3024 ,13655 ,565 ,4409 ,1 ,22 ,0 ,0 ,0 ,0 
2호선,왕십리(성동구청),832 ,5 ,6538 ,941 ,9893 ,9334 ,26838 ,14797 ,45956 ,29814 ,29234 ,20423 ,20076 ,16551 ,19743 ,16827 ,23570 ,18795 ,23465 ,20113 ,23785 ,20656 ,26716 ,22868 ,32780 ,27228 ,36694 ,38424 ,36780 ,58115 ,26465 ,36170 ,24474 ,23978 ,27709 ,21194 ,27045 ,20444 ,16150 ,13499 ,3122 ,5125 ,5 ,82 ,0 ,0 ,0 ,0 
2호선,한양대,0 ,0 ,1272 ,567 ,2942 ,6629 ,5790 ,13546 ,9475 ,77097 ,6787 ,61863 ,8869 ,60522 ,14764 ,21401 ,20287 ,44040 ,21416 ,28348 ,28107 ,24729 ,36687 ,15703 ,46157 ,13357 ,56937 ,17565 ,44574 ,21835 ,24080 ,10594 ,20809 ,7580 ,23817 ,6708 ,16044 ,6448 ,9480 ,4515 ,1988 ,1435 ,0 ,13 ,0 ,0 ,0 ,0 
2호선,뚝섬,24 ,1 ,3508 ,2847 ,8566 ,18198 ,19339 ,42423 ,27723 ,145857 ,18339 ,96262 ,15628 ,49886 ,18606 ,43885 ,23696 ,45899 ,29437 ,48012 ,35843 ,45405 ,48630 ,45294 ,62290 ,43785 ,95127 ,45519 ,149462 ,53868 ,81484 ,30038 ,58590 ,17076 ,51330 ,14149 ,32263 ,12462 ,12344 ,8176 ,1771 ,2850 ,0 ,34 ,0 ,0 ,0 ,0 
2호선,성수,84 ,6 ,5829 ,4018 ,9691 ,32878 ,24240 ,75807 ,31306 ,262572 ,25319 ,157036 ,23507 ,91437 ,27947 ,81577 ,36120 ,82497 ,47183 ,86565 ,59398 ,84787 ,73230 ,80719 ,93461 ,76749 ,154152 ,78381 ,257909 ,81478 ,135130 ,47545 ,102576 ,24612 ,84009 ,18801 ,56422 ,15814 ,22684 ,12636 ,3587 ,6711 ,1 ,1108 ,0 ,0 ,0 ,0 
2호선,건대입구,411 ,6 ,15975 ,1826 ,22760 ,16763 ,56895 ,26153 ,97143 ,64423 ,67561 ,51338 ,43148 ,47316 ,41556 ,49309 ,48280 ,54806 ,52486 ,60510 ,53337 ,59589 ,58803 ,65321 ,68109 ,78442 ,79290 ,108183 ,90368 ,157172 ,70389 ,110721 ,72186 ,69598 ,77698 ,65414 ,77697 ,58669 ,48347 ,34159 ,8522 ,11855 ,11 ,959 ,0 ,0 ,0 ,0 
2호선,구의(광진구청),83 ,6 ,13674 ,1556 ,28619 ,28680 ,73622 ,18088 ,122000 ,40322 ,75264 ,23075 ,41205 ,21325 ,33590 ,20553 ,35459 ,23746 ,33610 ,27571 ,30871 ,29337 ,32640 ,37539 ,41475 ,44643 ,44592 ,60932 ,45285 ,99928 ,26119 ,72201 ,20522 ,48711 ,18229 ,46304 ,16149 ,42701 ,8826 ,24490 ,1426 ,8095 ,1 ,161 ,0 ,0 ,0 ,0 
2호선,강변(동서울터미널),37 ,0 ,9856 ,2091 ,29043 ,21263 ,81109 ,24857 ,117162 ,42790 ,87385 ,34882 ,66503 ,35873 ,57444 ,33920 ,52337 ,37748 ,49770 ,42751 ,44195 ,46601 ,46571 ,57156 ,49799 ,64591 ,54886 ,81253 ,58786 ,110777 ,41932 ,78394 ,33077 ,56361 ,28305 ,46757 ,17334 ,41919 ,7447 ,21429 ,1041 ,5844 ,1 ,56 ,0 ,0 ,0 ,0 
2호선,잠실나루,16 ,0 ,3373 ,3252 ,13959 ,16934 ,40956 ,24565 ,50231 ,40195 ,34424 ,25022 ,26558 ,19595 ,25106 ,17566 ,23559 ,21096 ,22395 ,22371 ,23443 ,21510 ,26915 ,22079 ,34860 ,24477 ,38856 ,31392 ,32231 ,43939 ,16034 ,31714 ,12617 ,20096 ,9363 ,19143 ,6790 ,17581 ,2985 ,9793 ,462 ,3154 ,2 ,31 ,0 ,0 ,0 ,0 
2호선,잠실(송파구청),135 ,4 ,13352 ,5046 ,52709 ,38508 ,128832 ,88649 ,181603 ,182049 ,133152 ,166261 ,90395 ,140074 ,90707 ,144910 ,103980 ,137970 ,117102 ,142276 ,130049 ,144536 ,158068 ,157782 ,186434 ,172668 ,220700 ,211460 ,259972 ,264602 ,186243 ,171930 ,186662 ,112098 ,168262 ,101491 ,116361 ,90974 ,39720 ,47135 ,5720 ,10094 ,6 ,101 ,0 ,0 ,0 ,0 
2호선,잠실새내,45 ,3 ,5812 ,946 ,19841 ,9069 ,65903 ,18843 ,90397 ,29990 ,59345 ,32599 ,38770 ,26017 ,35351 ,29298 ,36217 ,34609 ,35826 ,37173 ,32089 ,39073 ,35415 ,46934 ,38015 ,55376 ,42121 ,72117 ,46167 ,94763 ,35783 ,66676 ,34683 ,40269 ,33059 ,36002 ,31719 ,33109 ,17956 ,17582 ,3174 ,5958 ,2 ,53 ,0 ,0 ,0 ,0 
2호선,종합운동장,3 ,0 ,1811 ,855 ,6350 ,10830 ,17838 ,20369 ,25336 ,28516 ,18346 ,14497 ,13217 ,13468 ,12571 ,14276 ,13426 ,34890 ,12617 ,50728 ,12832 ,22978 ,17577 ,28990 ,24299 ,46089 ,62405 ,81834 ,28031 ,86549 ,14341 ,27480 ,39880 ,13220 ,92209 ,13066 ,46998 ,11448 ,11071 ,6025 ,457 ,1776 ,1 ,99 ,0 ,0 ,0 ,0 
2호선,삼성(무역센터),210 ,4 ,4548 ,5640 ,7442 ,47486 ,16101 ,144874 ,20644 ,344560 ,23018 ,253457 ,26499 ,119455 ,39063 ,84673 ,50064 ,74771 ,64932 ,82250 ,80228 ,69970 ,103193 ,61420 ,133715 ,58321 ,222728 ,60272 ,303329 ,59550 ,153007 ,34631 ,119518 ,20377 ,98883 ,16717 ,62309 ,12788 ,17230 ,7073 ,2644 ,4231 ,1 ,1129 ,0 ,0 ,0 ,0 
2호선,선릉,147 ,4 ,5016 ,6181 ,12002 ,44075 ,23429 ,123647 ,37760 ,281826 ,36176 ,217244 ,39838 ,105569 ,49982 ,68259 ,59550 ,62962 ,69680 ,70926 ,78148 ,58116 ,101623 ,52674 ,128399 ,52188 ,202632 ,58990 ,292971 ,63133 ,151186 ,39987 ,96446 ,25478 ,90816 ,22873 ,73956 ,20156 ,26755 ,12063 ,4725 ,5276 ,2 ,98 ,0 ,0 ,0 ,0 
2호선,역삼,25 ,1 ,3741 ,7602 ,8832 ,43262 ,16491 ,163481 ,27340 ,384699 ,25651 ,303648 ,26617 ,125114 ,35076 ,67312 ,43113 ,59833 ,52478 ,66871 ,60415 ,51376 ,80987 ,45637 ,102149 ,44447 ,227885 ,52392 ,286218 ,59439 ,152340 ,37389 ,87920 ,24255 ,79614 ,21216 ,53287 ,17889 ,20865 ,10973 ,3557 ,3727 ,2 ,43 ,0 ,0 ,0 ,0 
